1924,1955,
1942,1995,
1967,1993,
1956,1958,
1919,1979,
1915,1927,
1946,1999,
1934,1967,
1913,1979,
1901,1996,
1945,1978,
1924,1946,
1957,1985,
1900,1926,
1972,1991,
1903,1906,
1920,1990,
1956,1984,
1901,1924,
1960,1980,
1918,1977,
1945,1965,
1916,1995,
1928,1998,
1911,1932,
1936,1937,
1915,1991,
1954,1958,
1912,1924,
1950,1956,
1931,1978,
1964,1997,
1964,1989,
1906,1922,
1986,1991,
1976,1995,
1993,1994,
1906,1992,
1931,1935,
1917,1981,
1959,1993,
1900,1990,
1972,1974,
1977,2000,
1937,1949,
1924,1943,
1929,1961,
1926,1990,
1926,1946,
1914,1945,
1909,1937,
1948,1995,
1904,1972,
1995,1996,
1931,1998,
1935,1960,
1905,1994,
1984,1994,
1934,1996,
1916,1948,
1963,1968,
1904,1963,
1903,1905,
1960,1971,
1978,1994,
1902,1974,
1932,1957,
1900,1947,
1900,1990,
1909,1997,
1968,1980,
1940,1973,
1913,1925,
1928,1954,
1925,1981,
1935,1989,
1959,1985,
1903,1944,
1909,1932,
1914,1988,
1945,1995,
1931,1951,
1960,1973,
1920,1953,
1920,1982,
1901,1950,
1911,1941,
1905,1962,
1944,1990,
1966,1980,
1902,1927,
1960,1983,
1955,1976,
1970,1995,
1934,1987,
1926,1988,
1905,1909,
1904,1974,
1906,1979,
1941,1997,
1943,1981,
1919,1948,
1930,1940,
1967,1985,
1975,1993,
1906,1972,
1909,1953,
1966,1998,
1918,1931,
1931,1967,
1900,1907,
1940,1946,
1965,1983,
1911,1966,
1946,1968,
1963,1972,
1970,1985,
1968,1979,
1956,1987,
1964,1999,
1971,1973,
1904,1994,
1945,1974,
1911,1942,
1912,1945,
1915,1944,
1903,1952,
1978,1982,
1941,1942,
1951,1966,
1941,1980,
1934,1969,
1987,1989,
1920,1947,
1950,1983,
1926,1983,
1960,1981,
1961,1995,
1907,1939,
1903,1997,
1959,1998,
1924,1925,
1982,1986,
1966,1972,
1940,1994,
1904,1915,
1929,1963,
1923,1930,
1949,1967,
1917,1947,
1912,1963,
1922,1939,
1949,1963,
1912,1929,
1969,1984,
1921,1984,
1948,1957,
1946,1982,
1907,1945,
1963,1970,
1904,1948,
1976,1981,
1938,1961,
1955,1982,
1956,1993,
1919,1927,
1942,1943,
1958,1997,
1908,1917,
1954,1978,
1992,1995,
1906,1951,
1924,1957,
1963,1998,
1966,1992,
1924,1976,
1951,1995,
1976,1983,
1943,1999,
1922,1935,
1934,1937,
1947,1968,
1976,1991,
1937,1971,
1971,1994,
1903,1918,
1937,1938,
1910,1947,
1988,1998,
1914,1927,
1902,1992,
1913,1943,
1921,1944,
1923,1971,
1965,1994,
1932,1974,
1978,1981,
1928,1982,
1918,1985,
1922,1980,
1922,1982,
1917,1939,
1960,1989,
1965,1999,
1929,1975,
1940,1944,
1959,1969,
1912,1935,
1916,1980,
1961,1962,
1933,1957,
1907,1947,
1918,1947,
1949,1968,
1925,1980,
1901,1953,
1923,1990,
1935,1987,
1901,1927,
1915,1964,
1920,1929,
1960,1987,
1972,1983,
1967,1991,
1917,1998,
1979,1995,
1985,1995,
1911,1962,
1954,1992,
1905,1930,
1939,1975,
1949,1973,
1905,1979,
1926,1979,
1949,1981,
1910,1944,
1925,1993,
1905,1968,
1921,1975,
1910,1972,
1918,1927,
1955,1990,
1912,1953,
1901,1986,
1927,1961,
1926,1985,
1927,1942,
1921,1986,
1903,1952,
1947,1959,
1949,1965,
1907,1937,
1900,1952,
1914,1945,
1917,1959,
1901,1925,
1906,1995,
1935,1998,
1922,1976,
1939,1971,
1949,1995,
1946,1967,
1930,1931,
1949,1995,
1919,1950,
1938,1954,
1995,1999,
1909,1940,
1960,1994,
1936,1962,
1920,1927,
1909,1955,
1910,1957,
1931,1953,
1976,1982,
1930,1995,
1924,1932,
1917,1924,
1915,1973,
1907,1973,
1912,1957,
1905,1953,
1940,1967,
1935,1964,
1921,1932,
1920,1974,
1916,1987,
1932,1963,
1926,1980,
1926,1937,
1964,1965,
1930,1937,
1901,1902,
1905,1930,
1954,1996,
1957,1996,
1921,1957,
1973,1982,
1976,1994,
1910,1922,
1917,1919,
1903,1953,
1909,1966,
1996,1998,
1914,1931,
1907,1973,
1925,1932,
1927,1932,
1950,1963,
1907,1999,
1921,1924,
